message,label
Free trial of premium dating app! Find love: dating.fake/trial,spam
Your LinkedIn account has unusual activity: linkedin.fake/security,spam
Thanks for the recommendation! I really enjoyed the book,ham
Get $200 cash back with new credit card: cashback.fake/card,spam
Can you send me the project report by EOD?,ham
Your email account will expire today. Renew: email.fake/renew,spam
Your account has been suspended. Click here to reactivate: bit.ly/fake123,spam
You've been selected for a free iPhone 15! Limited time: apple.fake/iphone,spam
Urgent: Your Social Security number is suspended: ssn.fake/urgent,spam
Win a shopping spree worth $2000! Enter now: shopping.fake/win,spam
Your monthly statement is available online,ham
Thanks for the birthday wishes! Made my day special,ham
Free cruise for 2 to Bahamas! Book now: cruise.fake/free,spam
Your table is ready. Please come to the hostess stand,ham
Donate to disaster relief victims! Every dollar helps: donate.fake/help,spam
Your maintenance request has been completed,ham
Flash sale! 90% off designer bags today only: bags.fake/sale,spam
Free vacation to Hawaii! You won! Claim: vacation.fake/hawaii,spam
Work from home and earn $1000/day. No experience needed! Apply: workfake.com,spam
Your cell service will be disconnected. Pay $65 now: cellular.fake/pay,spam
Thanks for helping me move last weekend!,ham
Don't forget to pick up milk on your way home,ham
Reminder: Doctor appointment tomorrow at 2 PM,ham
Your reservation has been upgraded to a suite,ham
Your appointment has been confirmed for next Tuesday,ham
Your tax documents are ready for pickup,ham
Traffic is heavy on I-95. Taking alternate route,ham
Win a Tesla Model S! Enter our contest: tesla.fake/contest,spam
Your subscription renewal is due next month,ham
Great job on the presentation today!,ham
The repair is complete. Your car is ready for pickup,ham
Free iPhone insurance claim ready! Get $800: insurance.fake/claim,spam
Great news! Your loan application was approved,ham
Your package requires $3.95 shipping fee: shipping.fake/fee,spam
Your online order couldn't be delivered. Reschedule: delivery.fake/schedule,spam
Your credit score improved! Check free report: credit.fake/score,spam
Final notice: Your car warranty is about to expire. Renew now!,spam
"Hey, is this Alex? Sorry wrong number, but you seem nice. Want to chat?",spam
Microsoft security alert: Your computer is infected. Call 1-800-FAKE,spam
Your library books are due in 3 days,ham
WINNER! You're our 1 millionth visitor! Claim $500: winner.fake/prize,spam
Thanks for dinner last night. Had a great time!,ham
Your computer license has expired. Renew: windows.fake/license,spam
Your Netflix subscription expires today. Update payment: netflix.fake/pay,spam
Your YouTube channel is suspended. Appeal: youtube.fake/appeal,spam
The conference call dial-in number is 555-0123,ham
Your prescription is ready for pickup at CVS,ham
Get rich quick! Bitcoin investment opportunity: crypto.fake/invest,spam
The book club meeting is moved to next Wednesday,ham
Your grocery order will be delivered between 2-4 PM,ham
Your Amazon Prime expired. Renew for free shipping: prime.fake/renew,spam
Your Facebook account will be deleted. Click to save: fb.fake/save,spam
The package was delivered to your front door,ham
The meeting minutes have been sent to all attendees,ham
Reminder: Submit your timesheet by Friday,ham
Your Google account sign-in was blocked. Verify: google.fake/security,spam
The event has been moved to the main auditorium,ham
Your dentist appointment reminder: Friday at 10 AM,ham
Free weight loss pills! Lose 30 lbs in 30 days: diet.fake/pills,spam
Class is cancelled today due to weather conditions,ham
"Win $10,000 cash! Text WIN to 12345",spam
Dinner reservations confirmed for 7 PM at Giovanni's,ham
Great weather for the picnic tomorrow!,ham
URGENT: Your bank account will be closed. Call 555-FAKE now!,spam
The power outage is expected to last 2 hours,ham
The concert was amazing! Thanks for inviting me,ham
Your Instagram has been hacked! Secure it now: insta.fake/hack,spam
Thanks for watching the kids last night!,ham
Your order #12345 has been shipped and tracking info sent,ham
Urgent: Your tax refund is ready. Claim $2500: taxrefund.fake/claim,spam
Your prescription is ready for pickup. Click to confirm: pharmacy.fake/rx,spam
Your PayPal account is limited. Verify identity: paypal.fake/verify,spam
"Hi, this is John from IT. We need to update your password. Click: company.fake/login",spam
Your coffee order is ready for pickup,ham
Your utility bill payment has been processed,ham
Urgent: Your package is waiting for delivery. Confirm details: ups.fake/789,spam
Your flight check-in is now available,ham
Your order is being prepared. Estimated time: 20 minutes,ham
The flight is delayed by 30 minutes. Gate changed to B12,ham
The software update is complete and ready to use,ham
Congratulations! You qualify for 0% APR credit card. Apply: card.fake/apply,spam
"Hey, are you free for lunch tomorrow?",ham
Amazon: Your refund of $250 is being processed. Verify info: amazon.fake/refund,spam
Congratulations! You're pre-approved for mortgage: mortgage.fake/approved,spam
Congratulations on your promotion! Well deserved,ham
Your gym membership expires at the end of this month,ham
"Congratulations! You've won a $1,000 Amazon gift card. Claim now: amzn.to/fake456",spam
Your Bitcoin wallet has suspicious activity. Secure now: bitcoin.fake/secure,spam
Your WiFi password has been compromised. Update: wifi.fake/secure,spam
Important notice from IRS: Click here to resolve tax issue: irs.fake/resolve,spam
See you at the game tonight! Go team!,ham
Your phone bill is overdue $89. Pay now to avoid disconnection: bill.fake/pay,spam
Your Spotify account is compromised. Secure: spotify.fake/secure,spam
The restaurant has a 45-minute wait. Still interested?,ham
Stimulus check available! Claim your $1400: stimulus.fake/claim,spam
Good luck on your exam! You've got this,ham
Get a $5000 loan approved in 5 minutes! No credit check: loan.fake/apply,spam
Happy birthday! Hope you have a wonderful day,ham
Meeting is rescheduled to 3 PM in conference room B,ham
Can we reschedule our call to Thursday morning?,ham
